#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
223000,223.00000000070074,-206141.8033220125,3803.216747675091,-202338.58657433742,305.25278139005627,0.9802565432266562,335
224000,224.0000000007055,-206120.84814428963,3772.106105286861,-202348.74203900277,302.7557872006917,1.0111553822658883,335
225000,225.0000000007103,-206020.00648925317,3714.5712412970606,-202305.4352479561,298.1379390934227,1.0140633222032192,335
226000,226.00000000071506,-206093.06500879963,3734.6393360830843,-202358.42567271655,299.74863923413324,1.0070441330537196,335
227000,227.00000000071984,-206229.5887638544,3848.4269161373377,-202381.16184771707,308.8814280294175,0.9810921173299592,335
228000,228.0000000007246,-206177.9387129191,3786.3707847730257,-202391.56792814608,303.900695150377,1.0083773749296203,335
229000,229.0000000007294,-205938.1441247259,3625.480890566949,-202312.66323415894,290.98739281650944,1.0020829327017353,335
230000,230.00000000073416,-206338.95474686564,3962.2902286462486,-202376.6645182194,318.0202952430406,1.0114036643853388,334
231000,231.00000000073894,-206054.5671848197,3603.0777040775865,-202451.4894807421,289.1892741602277,0.993654335233776,334
232000,232.0000000007437,-206253.03083987752,3806.1350520644337,-202446.8957878131,305.48700956869845,0.9953669464357728,334
233000,233.00000000074849,-206321.01200421483,3844.103950032033,-202476.9080541828,308.5344592619115,0.9965122796601611,334
234000,234.00000000075326,-206121.62163442114,3751.392893936485,-202370.22874048466,301.09330888412256,1.0021012303290213,335
235000,235.00000000075804,-206189.43757327055,3802.984614276327,-202386.45295899422,305.2341499603147,0.9781714640264199,335
236000,236.0000000007628,-206232.2050303879,3816.8753357320093,-202415.3296946559,306.3490433890033,0.9908840924264603,335
237000,237.00000000076759,-206337.96368644846,3847.130293047987,-202490.83339340048,308.7773588083612,0.9874292400854541,335
238000,238.00000000077236,-206245.03750116922,3834.5230522304773,-202410.51444893875,307.76547976477224,0.9764797730457497,335
239000,239.00000000077713,-206213.92465595814,3846.927759354934,-202366.9968966032,308.76110310240716,0.9708287159013204,335
240000,240.0000000007819,-206237.76616422858,3840.526830656454,-202397.23933357213,308.24735344827957,0.9984036752603959,334
241000,241.00000000078668,-206305.29117524417,3833.346505211666,-202471.9446700325,307.67104805767906,0.9859077553100846,334
