#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
220000,719.9999999898862,-211514.16863579978,1184.6871835290221,-210329.48145227076,95.08505085082257,0.9939540198818504,379
221000,720.9999999898625,-211527.67644829978,1163.696253326023,-210363.98019497376,93.4002823368148,0.9939540198818504,379
222000,721.9999999898389,-211535.10613579978,1132.7167054153688,-210402.3894303844,90.9138100178983,0.9939540198818504,379
223000,722.9999999898153,-211540.48894829978,1114.3547986014746,-210426.1341496983,89.44005148704608,0.9939540198818504,379
224000,723.9999999897916,-211586.86394829978,1100.345166831743,-210486.51878146804,88.31561411003482,0.9939540198818504,379
225000,724.999999989768,-211614.75457329978,1100.4554258582648,-210514.29914744152,88.32446369099539,0.9939540198818504,379
226000,725.9999999897443,-211628.12957329978,1106.5827744140988,-210521.54679888568,88.816255327735,0.9939540198818504,379
227000,726.9999999897207,-211648.05144829978,1088.4100912878494,-210559.64135701192,87.35768421868663,0.9939540198818504,379
228000,727.999999989697,-211595.50457329978,1036.1793825612403,-210559.32519073854,83.16555682481207,0.9939540198818504,379
229000,728.9999999896734,-211613.92644829978,1035.580977155012,-210578.34547114477,83.11752776762998,0.9939540198818504,380
230000,729.9999999896497,-211633.84832329978,1047.965021851007,-210585.88330144878,84.11149270287119,0.9939540198818504,379
231000,730.9999999896261,-211693.37957329978,1057.792210551852,-210635.58736274793,84.90023993533214,0.9939540198818504,379
232000,731.9999999896024,-211718.13738579978,1041.8156529286643,-210676.32173287112,83.6179336732718,0.9939540198818504,379
233000,732.9999999895788,-211701.73113579978,1025.7445000918815,-210675.9866357079,82.32803503508045,0.9939540198818504,380
234000,733.9999999895551,-211695.23894829978,1005.2100041849772,-210690.0289441148,80.67990073038771,0.9939540198818504,380
235000,734.9999999895315,-211717.02019829978,991.6190213960363,-210725.40117690375,79.58906484766167,0.9939540198818504,380
236000,735.9999999895078,-211713.20769829978,973.0726121109328,-210740.13508618885,78.10049782803625,0.9939540198818504,380
237000,736.9999999894842,-211775.64519829978,1016.2905872715637,-210759.35461102822,81.56924757307603,0.9939540198818504,380
238000,737.9999999894605,-211742.08269829978,939.7066641731653,-210802.37603412662,75.42248889837285,0.9939540198818504,380
239000,738.9999999894369,-211780.43426079978,942.4582795691676,-210837.97598123061,75.64333832891316,0.9939540198818504,380
240000,739.9999999894133,-211776.67644829978,926.985615680227,-210849.69083261956,74.40147545309893,0.9939540198818504,380
241000,740.9999999893896,-211788.67644829978,911.9380555916578,-210876.73839270812,73.19373214659986,0.9939540198818504,380
242000,741.999999989366,-211789.27801079978,883.5851036810782,-210905.6929071187,70.91807498437957,0.9939540198818504,380
